ClientID,CookstoveType,StoveNumber,SigningDate,ContractCheckStatus,DoubleContractCheck,ClientNumberCheck
C984817637,Improved cookstove,DOD/K07490,18/11/2025,Approved,Ok,Ok
C001873598,Improved cookstove,DOD/K07735,18/11/2025,Approved,Ok,Ok
C984734495,Improved cookstove,DOD/K07692,18/11/2025,Approved,Ok,Ok
C001873540,Improved cookstove,DOD/K07908,18/11/2025,Approved,Ok,Ok
C002161922,Improved cookstove,DOD/K07227,18/11/2025,Approved,Ok,Ok
C001876296,Improved cookstove,DOD/K07948,18/11/2025,Approved,Ok,Ok
C984737114,Improved cookstove,DOD/K07083,18/11/2025,Approved,Ok,Ok
C984808633,Improved cookstove,DOD/K07504,18/11/2025,CheckNotPassed,Ok,Ok
C984073614,Improved cookstove,DOD/K07854,18/11/2025,Approved,Ok,Ok
C992926886,Improved cookstove,DOD/K07031,18/11/2025,CheckNotPassed,Ok,Ok
C984711363,Improved cookstove,DOD/K07167,18/11/2025,Approved,Ok,Ok
C002426334,Improved cookstove,DOD/K07812,18/11/2025,Approved,Ok,Ok
C001872146,Improved cookstove,DOD/K07386,18/11/2025,Approved,Ok,Ok
C001852662,Improved cookstove,DOD/K07974,18/11/2025,Approved,Ok,Ok
C002160368,Improved cookstove,DOD/K07421,18/11/2025,Approved,Ok,Ok
C999359046,Improved cookstove,DOD/K07754,18/11/2025,Approved,Ok,Ok
C001851784,Improved cookstove,DOD/K05082,18/11/2025,Approved,Ok,Ok
C001871766,Improved cookstove,DOD/K07415,18/11/2025,Approved,Ok,Ok
C999355839,Improved cookstove,DOD/K07953,18/11/2025,Approved,Ok,Ok
C984737594,Improved cookstove,DOD/K07403,18/11/2025,CheckNotPassed,Ok,Ok
C984075918,Improved cookstove,DOD/K07973,18/11/2025,Approved,Ok,Ok
C105498942,Improved cookstove,DOD/K07821,18/11/2025,Approved,Ok,Ok
C984732575,Improved cookstove,DOD/K07435,18/11/2025,Approved,Ok,Ok
C001874372,Improved cookstove,DOD/K07455,18/11/2025,Approved,Ok,Ok
C992926395,Improved cookstove,DOD/K07351,18/11/2025,Approved,Ok,Ok
C001849560,Improved cookstove,DOD/K07419,18/11/2025,Approved,Ok,Ok
C995273454,Improved cookstove,DOD/K07541,18/11/2025,Approved,Ok,Ok
C984817813,Improved cookstove,DOD/K07479,18/11/2025,Approved,Ok,Ok
C984710871,Improved cookstove,DOD/K07113,18/11/2025,Approved,Ok,Ok
C995274232,Improved cookstove,DOD/K07980,18/11/2025,Approved,Ok,Ok
