Stoves,Mean_Peak,Std_Dev,5th_Percentile,95th_Percentile,Risk_Exceeding_Threshold,Risk_Smoothed
825,859537.198834203,9191.218587666779,845135.0331909251,873900.8465044984,83.72560048856349,76.88044668416715
830,862463.0788924138,9236.300159356675,847560.3409281226,876914.9773124389,90.23785394883899,82.47734629455041
835,865323.7376628579,9283.800320899982,850285.3300889053,879587.5304800316,94.4837229585816,91.58003045539598
840,872239.6376922538,16219.987850949972,841975.8414366351,897198.4361701356,90.99259637919592,94.67808221081506
845,870826.7999827539,9411.667460762765,855305.6619732024,884548.3113978428,98.46037850179991,96.55069353762508
850,873459.3743563865,9502.208215882638,857206.076186495,887380.6530028406,99.2158592656589,96.32390075078402
855,876007.2241483552,9615.066030142532,859059.2766088255,890277.6160881605,99.6009105828891,98.10327153291509
860,876249.0177076528,17139.0754844243,851045.0918105845,906254.0516716612,93.34975902437623,98.39881701722035
865,880836.9580095849,9912.996653706114,862614.4543044519,895711.5023696627,99.88945028985128,98.54833087516506
870,883114.8608914824,10097.46524442129,864311.8564201305,898244.1792274816,99.93810592332626,98.21067344530152
875,885300.0499872066,10303.435621337527,865941.4729112373,900652.924731651,99.96342855538242,99.53767681535527
880,889771.3709954276,19288.226200929977,860494.8092578016,923439.1565751686,97.91262343357144,99.55764395954586
885,889392.2652636399,10769.13661708335,869060.5257025457,905101.0409462977,99.98477587464495,99.5684322496875
890,891300.8387410463,11022.61273749624,870524.4571560894,907264.7394617856,99.9892860108042,99.56132291774267
895,893119.662760668,11285.515809859688,871927.6475363189,909951.3141073212,99.99204737403447,99.99204737403447
900,907520.163556961,17896.893752165815,882417.8575323843,933849.1608235269,99.92788189565836,99.92788189565836
